Date, Open, High, Low, Close, Return
21/11/2022 00:00:00,3965.51,4005.88,3956.88,4003.58,-38.07
22/11/2022 00:00:00,4000.3,4033.78,3998.66,4027.26,-26.96
24/11/2022 00:00:00,4023.34,4034.02,4020.76,4026.12,-2.78
27/11/2022 00:00:00,4005.36,4012.27,3955.77,3963.94,41.42
28/11/2022 00:00:00,3964.19,3976.77,3937.65,3957.63,6.56
29/11/2022 00:00:00,3957.18,4080.11,3938.58,4080.11,-122.93
30/11/2022 00:00:00,4087.14,4100.51,4050.87,4076.57,10.57
01/12/2022 00:00:00,4040.17,4080.48,4026.63,4071.7,-31.53
04/12/2022 00:00:00,4052.02,4052.45,3984.49,3998.84,53.18
05/12/2022 00:00:00,3996.63,4001.51,3918.39,3941.26,55.37
06/12/2022 00:00:00,3933.28,3957.57,3922.68,3933.92,-0.64
07/12/2022 00:00:00,3947.79,3974.19,3935.83,3963.51,-15.72
08/12/2022 00:00:00,3954.17,3977.02,3933.04,3934.38,19.79
11/12/2022 00:00:00,3939.29,3990.71,3935.3,3990.56,-51.27
12/12/2022 00:00:00,4069.38,4100.96,3993.03,4019.65,49.73
13/12/2022 00:00:00,4015.54,4053.76,3965.65,3995.32,20.22
14/12/2022 00:00:00,3958.37,3958.37,3879.45,3895.75,62.62
15/12/2022 00:00:00,3890.91,3890.91,3827.91,3852.36,38.55
18/12/2022 00:00:00,3853.79,3854.86,3800.04,3817.66,36.13
19/12/2022 00:00:00,3810.47,3838.24,3795.62,3821.62,-11.15
20/12/2022 00:00:00,3839.49,3889.82,3839.49,3878.44,-38.95
21/12/2022 00:00:00,3853.26,3853.26,3764.49,3822.39,30.87
22/12/2022 00:00:00,3815.11,3845.8,3797.01,3844.82,-29.71
26/12/2022 00:00:00,3843.34,3846.65,3813.22,3829.25,14.09
27/12/2022 00:00:00,3829.56,3848.32,3780.78,3783.22,46.34
28/12/2022 00:00:00,3805.45,3858.19,3805.45,3849.28,-43.83
29/12/2022 00:00:00,3829.06,3839.85,3800.34,3839.5,-10.44
02/01/2023 00:00:00,3853.29,3878.46,3794.33,3824.14,29.15
03/01/2023 00:00:00,3840.36,3873.16,3815.77,3852.97,-12.61
04/01/2023 00:00:00,3839.74,3839.74,3802.42,3808.1,31.64
05/01/2023 00:00:00,3823.37,3906.19,3809.56,3895.08,-71.71
08/01/2023 00:00:00,3910.82,3950.57,3890.42,3892.09,18.73
09/01/2023 00:00:00,3888.57,3919.83,3877.29,3919.25,-30.68
10/01/2023 00:00:00,3932.35,3970.07,3928.54,3969.61,-37.26
11/01/2023 00:00:00,3977.57,3997.76,3937.56,3983.17,-5.6
12/01/2023 00:00:00,3960.6,4003.95,3947.67,3999.09,-38.49
16/01/2023 00:00:00,3999.28,4015.39,3984.57,3990.97,8.31
17/01/2023 00:00:00,4002.25,4014.16,3926.59,3928.86,73.39
18/01/2023 00:00:00,3911.84,3922.94,3885.54,3898.85,12.99
19/01/2023 00:00:00,3909.04,3972.96,3897.86,3972.61,-63.57
22/01/2023 00:00:00,3978.14,4039.31,3971.64,4019.81,-41.67
23/01/2023 00:00:00,4001.74,4023.92,3989.79,4016.95,-15.21
24/01/2023 00:00:00,3982.71,4019.55,3949.06,4016.22,-33.51
25/01/2023 00:00:00,4036.08,4061.57,4013.29,4060.43,-24.35
26/01/2023 00:00:00,4053.72,4094.21,4048.7,4070.56,-16.84
29/01/2023 00:00:00,4049.27,4063.85,4015.55,4017.77,31.5
30/01/2023 00:00:00,4020.85,4077.16,4020.44,4076.6,-55.75
31/01/2023 00:00:00,4070.07,4148.95,4037.2,4119.21,-49.14
01/02/2023 00:00:00,4158.68,4195.44,4141.88,4179.76,-21.08
02/02/2023 00:00:00,4136.69,4182.36,4123.36,4136.48,0.21
05/02/2023 00:00:00,4119.57,4124.63,4093.38,4111.08,8.49
06/02/2023 00:00:00,4105.35,4176.54,4088.39,4164,-58.65
07/02/2023 00:00:00,4153.47,4156.85,4111.67,4117.86,35.61
08/02/2023 00:00:00,4144.25,4156.23,4069.67,4081.5,62.75
09/02/2023 00:00:00,4068.92,4094.36,4060.79,4090.46,-21.54
12/02/2023 00:00:00,4096.62,4138.9,4092.67,4137.29,-40.67
13/02/2023 00:00:00,4126.7,4159.77,4095.01,4136.13,-9.43
14/02/2023 00:00:00,4119.5,4148.11,4103.98,4147.6,-28.1
15/02/2023 00:00:00,4114.75,4136.54,4089.49,4090.41,24.34
16/02/2023 00:00:00,4077.39,4081.51,4047.95,4079.09,-1.7
20/02/2023 00:00:00,4052.35,4052.35,3995.19,3997.34,55.01
21/02/2023 00:00:00,4001.83,4017.37,3976.9,3991.05,10.78
